2023-08-04 15:14:42.659 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-04 15:14:43.131 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@55b29ab1, org.springframework.security.web.context.SecurityContextPersistenceFilter@2ea59f9, org.springframework.security.web.header.HeaderWriterFilter@26488c72, org.springframework.security.web.authentication.logout.LogoutFilter@464020d8, org.springframework.security.web.session.ConcurrentSessionFilter@2dfc67a3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4c06e50c, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7855e8da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6527710d, org.springframework.security.web.session.SessionManagementFilter@7ecff0a, org.springframework.security.web.access.ExceptionTranslationFilter@661e0ce1, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@79fa2367]
2023-08-04 15:14:44.210 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-04 15:14:44.237 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-08-04 15:14:44.295 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-08-04 15:14:44.318 INFO  c.p.workshop.WorkshopApplication - Started WorkshopApplication in 13.801 seconds (JVM running for 15.239)
2023-08-04 15:15:40.701 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-04 15:15:40.701 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-04 15:15:40.705 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-08-04 15:17:42.704 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:17:42.780 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-04 15:17:42.888 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-04 15:17:52.263 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-04 15:17:52.282 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 14332 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
2023-08-04 15:17:52.284 INFO  c.p.workshop.WorkshopApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-04 15:17:52.490 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-04 15:17:52.491 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-04 15:17:54.998 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-04 15:17:55.308 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 287 ms. Found 7 JPA repository interfaces.
2023-08-04 15:17:57.855 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
2023-08-04 15:17:57.933 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2023-08-04 15:17:57.934 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-08-04 15:17:57.937 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.71]
2023-08-04 15:17:58.391 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-04 15:17:58.392 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 5899 ms
2023-08-04 15:17:59.542 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-08-04 15:17:59.744 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.14.Final
2023-08-04 15:18:00.388 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2023-08-04 15:18:00.831 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-08-04 15:18:01.553 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-08-04 15:18:01.660 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2023-08-04 15:18:05.143 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-08-04 15:18:05.164 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:18:07.849 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-08-04 15:18:08.494 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@907344e, org.springframework.security.web.context.SecurityContextPersistenceFilter@4bf989c7, org.springframework.security.web.header.HeaderWriterFilter@1fe33c9a, org.springframework.security.web.authentication.logout.LogoutFilter@40ea0890, org.springframework.security.web.session.ConcurrentSessionFilter@4ee500c3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4c65eea9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5682d8da, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5d9122fd, org.springframework.security.web.session.SessionManagementFilter@65d81c23, org.springframework.security.web.access.ExceptionTranslationFilter@7247986d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5f8220fb]
2023-08-04 15:18:09.948 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-08-04 15:18:10.009 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2023-08-04 15:18:10.075 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2023-08-04 15:18:10.106 INFO  c.p.workshop.WorkshopApplication - Started WorkshopApplication in 19.024 seconds (JVM running for 20.593)
2023-08-04 15:18:38.835 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-08-04 15:18:38.849 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-08-04 15:18:38.869 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-08-04 15:18:56.090 INFO  c.p.workshop.WorkshopApplication - Starting WorkshopApplication using Java 19.0.2 on Dwiputra with PID 9440 (C:\Workspace\pendataan-himatika\Back-end Service\workshop\target\classes started by dwipu in C:\Workspace\pendataan-himatika)
2023-08-04 15:18:56.091 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-08-04 15:18:56.093 INFO  c.p.workshop.WorkshopApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-04 15:18:56.292 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-08-04 15:18:56.292 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-08-04 15:18:58.909 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-08-04 15:18:59.166 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 231 ms. Found 7 JPA repository interfaces.
2023-08-04 15:19:01.983 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
